Sample	22	27	32	37	42	47	52	57	62	67	72	77	82	87	92	97	102	107	112	117	122	127	132	137	141
fastQC | 117	16381.0	16317.0	17867.0	18876.0	19812.0	20009.0	20377.0	21023.0	21544.0	23703.0	22473.0	20961.0	26239.0	30802.0	36087.0	42611.0	46396.0	52203.0	61151.0	64539.0	68273.0	70752.0	74890.0	177673.0	4425605.0
fastQC | 118	19763.0	20343.0	22957.0	24403.0	25903.0	26292.0	26116.0	27163.0	28519.0	31336.0	30447.0	28074.0	35475.0	40912.0	48204.0	56057.0	60758.0	69518.0	82064.0	88667.0	92830.0	96968.0	102635.0	254525.0	6975606.0
fastQC | 119	50125.0	51123.0	56599.0	60156.0	63234.0	63156.0	63813.0	66362.0	68637.0	75586.0	72871.0	67817.0	84707.0	98442.0	115529.0	133772.0	146746.0	166099.0	195063.0	208721.0	222252.0	230037.0	245178.0	601896.0	17077474.0
fastQC | 12	6049.0	6064.0	6572.0	6770.0	7145.0	7024.0	6940.0	7214.0	7307.0	7818.0	7590.0	7076.0	9320.0	10120.0	11712.0	13967.0	15491.0	17159.0	19843.0	21339.0	22630.0	23403.0	25264.0	60175.0	1669130.0
fastQC | 120	35304.0	36266.0	40284.0	42897.0	45196.0	46066.0	46027.0	47834.0	50675.0	55700.0	53860.0	49276.0	61972.0	71610.0	84531.0	97960.0	105792.0	119909.0	142846.0	152230.0	161269.0	167953.0	176922.0	432201.0	11602690.0
fastQC | 121	4947.0	4777.0	5122.0	5379.0	5569.0	5767.0	5490.0	5727.0	5921.0	6473.0	6405.0	5886.0	7268.0	8423.0	10021.0	11330.0	12684.0	14352.0	16680.0	17755.0	19016.0	19763.0	21545.0	52117.0	1493310.0
fastQC | 122	4207.0	3984.0	4333.0	4414.0	4466.0	4684.0	4550.0	4725.0	4784.0	5132.0	4863.0	4456.0	5459.0	6521.0	7687.0	9030.0	9919.0	11030.0	12925.0	13701.0	14380.0	15098.0	16260.0	38953.0	1052599.0
fastQC | 123	9140.0	9299.0	10248.0	10843.0	11449.0	11283.0	11705.0	12427.0	12810.0	13910.0	13135.0	12139.0	15591.0	18675.0	22794.0	26044.0	28589.0	33084.0	40105.0	43316.0	46124.0	47485.0	50105.0	122333.0	3174623.0
fastQC | 124	10429.0	10278.0	11279.0	11634.0	12281.0	12205.0	12284.0	12336.0	13016.0	13750.0	13030.0	11453.0	15437.0	18529.0	22994.0	26908.0	28917.0	33747.0	40691.0	43309.0	44787.0	46717.0	48450.0	116520.0	2742517.0
fastQC | 125	5405.0	5019.0	5473.0	5521.0	5841.0	5857.0	5604.0	5909.0	6002.0	6224.0	5821.0	5261.0	7064.0	8298.0	10006.0	11362.0	12129.0	14170.0	16540.0	17304.0	18099.0	18527.0	19161.0	44738.0	1019636.0
