Sample	0.0	1.0	2.0	3.0	4.0	5.0	6.0	7.0	8.0	9.0	10.0	11.0	12.0	13.0	14.0	15.0	16.0	17.0	18.0	19.0	20.0	21.0	22.0	23.0	24.0	25.0	26.0	27.0	28.0	29.0	30.0	31.0	32.0	33.0	34.0	35.0	36.0	37.0	38.0	39.0	40.0	41.0	42.0	43.0	44.0	45.0	46.0	47.0	48.0	49.0	50.0	51.0	52.0	53.0	54.0	55.0	56.0	57.0	58.0	59.0	60.0	61.0	62.0	63.0	64.0	65.0	66.0	67.0	68.0	69.0	70.0	71.0	72.0	73.0	74.0	75.0	76.0	77.0	78.0	79.0	80.0	81.0	82.0	83.0	84.0	85.0	86.0	87.0	88.0	89.0	90.0	91.0	92.0	93.0	94.0	95.0	96.0	97.0	98.0	99.0	100.0
fastQC | 1	73.0	69.5	88.5	109.5	110.5	113.0	108.5	130.0	147.0	149.5	165.5	188.5	249.0	382.0	467.0	533.5	656.0	870.5	1200.5	1575.0	1987.5	2681.5	3516.5	4417.0	5378.5	6597.0	8542.0	10602.0	12685.5	14832.5	16659.5	18544.0	20831.0	22886.0	24652.0	26310.5	28488.0	30531.0	31868.5	34069.5	36067.0	37826.0	40294.5	42877.0	45033.0	46459.5	47173.5	47507.0	49022.0	51022.0	51701.5	52332.0	53245.0	54503.5	54921.5	53496.5	53248.0	53124.5	52008.0	50988.5	50551.5	49766.0	47848.0	47104.5	45930.5	44084.0	43155.0	42144.0	40367.5	38405.0	36745.5	34674.5	31529.5	28197.0	24738.0	20721.0	17265.5	13945.0	10675.0	7761.5	5482.0	3747.5	2417.0	1580.5	1023.5	684.0	441.5	326.0	259.5	205.0	165.0	136.5	122.5	104.5	82.5	68.5	58.0	51.0	37.0	24.5	26.5
fastQC | 10	113.0	116.5	150.5	205.0	240.0	271.5	324.0	404.0	491.5	594.5	750.0	964.5	1268.5	1566.0	1824.0	2254.5	2843.5	3754.5	4995.0	6212.5	8073.0	11110.0	14312.0	18345.0	23210.0	28205.5	34554.5	43117.5	52349.0	62048.5	70918.5	80910.5	91703.5	100724.0	111174.0	121607.5	130875.5	138946.5	149274.0	158906.5	162205.5	170144.0	181083.5	186549.0	186543.0	182788.5	174416.5	161255.5	147040.5	134653.0	121695.5	108156.5	97870.5	88569.5	79655.5	70778.0	64315.0	58904.5	55662.5	55192.0	54610.5	56062.0	58608.5	61517.5	63691.0	64141.5	67262.0	68793.5	66053.5	64385.0	61038.0	54856.5	48511.5	40580.0	32412.0	25999.5	20422.0	15342.0	11008.0	7655.0	5146.0	3509.0	2365.0	1450.0	931.5	638.5	459.5	379.0	293.5	223.5	172.5	131.0	109.0	90.5	77.5	71.0	65.5	62.0	47.0	35.0	38.0
fastQC | 100	176.0	177.0	207.0	244.0	269.5	315.5	384.5	497.0	621.0	727.0	901.0	1129.5	1373.5	1692.5	1976.5	2316.0	2999.0	3886.5	4794.5	6282.0	8259.5	10614.0	14214.0	18649.5	23916.0	30171.5	37936.5	47007.5	56619.0	66813.0	77105.0	88536.0	98885.0	109117.5	119295.0	126764.5	132978.0	141117.0	149859.5	157178.5	163781.5	170289.0	177053.0	182164.5	183930.5	179234.5	170213.5	161138.0	150773.0	139706.5	131532.5	122863.5	112654.0	104910.0	97346.5	88499.0	81849.5	77403.0	74363.5	72667.5	71599.0	71071.5	71873.0	73741.5	74574.0	75394.0	77147.5	78935.5	79198.0	78541.5	76332.5	72171.0	66602.5	60077.0	53993.0	46362.5	38077.5	30918.0	24271.5	17972.5	12797.0	8803.0	5713.5	3677.0	2302.0	1493.5	1043.5	771.5	600.0	485.0	381.5	289.5	240.5	190.5	143.0	122.0	117.0	116.0	110.5	99.0	98.5
fastQC | 101	362.0	360.5	391.5	421.0	430.0	471.5	585.0	765.0	944.5	1099.0	1290.5	1601.5	1963.5	2425.0	2945.0	3540.0	4563.0	5821.0	7162.5	9187.0	12103.0	15631.0	19847.0	25340.0	32411.5	40335.0	50348.5	61509.5	73486.5	87884.0	101452.5	115259.5	129892.5	144396.0	158283.0	169860.0	180825.0	192075.5	204900.0	217472.0	229184.0	243238.0	255964.0	266633.5	276776.5	281627.5	277312.0	270487.0	264420.5	257630.0	251683.0	243873.0	232818.5	223170.5	214136.0	204062.5	194932.0	185713.0	178718.5	174456.5	172270.5	171288.5	170379.0	172206.5	173871.0	172484.5	173988.0	175665.0	173634.0	169347.5	162037.0	154070.0	143784.5	129011.5	112150.0	95729.5	79734.0	63672.5	48225.5	34953.5	24722.0	16726.0	11065.5	7055.0	4477.5	2939.0	2113.0	1661.0	1335.5	1057.5	837.0	641.0	512.0	380.5	260.5	209.5	182.0	166.5	152.0	146.5	154.5
fastQC | 102	280.0	300.0	360.0	421.0	444.5	499.5	629.5	834.0	1092.5	1330.0	1586.5	1930.0	2318.0	2756.5	3364.5	3969.0	4733.0	6009.0	7895.5	10049.0	12756.5	16810.0	21813.0	27501.5	34580.5	42815.0	53736.5	66358.0	78234.0	91685.0	107596.0	122594.5	132626.5	142429.0	155615.5	166230.5	171529.0	176890.5	184881.5	192355.0	197983.0	203940.0	206396.5	208601.5	211831.0	206159.0	194105.5	182502.5	171476.0	158698.0	146107.5	135258.0	124731.5	114924.5	105825.0	96735.0	89954.0	83970.5	77229.0	73452.0	71839.5	69362.0	66615.0	63988.5	61753.0	60535.5	59276.5	57345.5	54872.5	52347.0	48994.5	44868.5	40811.5	36245.5	31406.5	26834.5	22523.0	18243.5	14281.0	10923.0	8052.0	5667.5	3954.5	2579.5	1705.5	1201.0	843.5	628.5	458.5	337.0	280.0	223.0	198.0	160.5	112.0	94.0	82.5	76.5	60.0	52.0	66.0
fastQC | 103	542.0	491.0	531.0	681.0	773.0	858.0	1001.5	1212.0	1456.0	1707.0	2070.5	2613.0	3198.5	3970.0	4857.0	5850.5	7275.0	8897.0	11299.5	14593.0	18705.5	24015.5	31427.0	41295.0	51570.5	62655.5	77309.0	95551.0	112704.0	132368.5	152722.0	171235.0	190010.5	204203.5	221458.5	238686.0	248237.5	256668.0	268085.0	279960.0	291615.5	302786.0	314688.0	322593.0	327153.0	325003.0	313493.0	301512.0	286496.5	271721.5	257565.5	244169.5	233158.5	221778.5	209149.0	195230.0	184868.0	176924.5	168486.5	163674.5	161078.5	158420.5	156789.0	154313.0	152713.5	152421.0	153790.0	156547.0	154512.0	151646.5	147369.0	138542.0	129998.0	118739.0	103893.0	90927.0	77695.5	63802.5	50904.0	38360.5	27328.5	18958.0	13036.5	8507.0	5546.5	3634.5	2455.5	1872.5	1491.0	1142.0	901.0	746.0	635.5	489.0	350.0	287.0	258.5	247.5	216.5	179.5	185.5
fastQC | 104	397.0	388.0	447.0	566.5	659.5	754.0	898.5	1128.5	1403.0	1715.0	2146.5	2737.0	3418.0	4168.5	4876.0	5773.0	7065.0	9031.5	11464.0	14427.0	18454.5	24279.0	32078.5	40779.0	51418.5	64157.0	78136.5	95084.0	114389.5	132772.5	153598.0	175893.0	193779.5	211521.0	227631.5	241950.5	253359.0	262629.0	275506.5	284951.0	290034.0	298925.5	309331.5	312442.0	313279.5	305076.5	286501.5	267526.0	244337.0	223390.5	207910.5	190809.0	171896.5	156879.5	142442.5	127102.5	114120.0	103785.0	95928.5	89991.0	85525.5	81538.5	78838.5	75417.0	70867.5	67742.0	66209.5	65441.0	62733.5	58610.0	54872.5	51196.0	46896.5	41594.5	36958.5	32524.5	27005.5	21140.5	16515.5	12581.0	8881.0	6119.0	4260.0	2722.0	1665.5	1189.0	916.0	741.0	594.5	476.5	397.5	332.0	275.5	232.5	194.5	160.5	150.5	156.5	148.0	128.5	125.0
fastQC | 105	40.0	41.0	50.0	57.0	57.0	69.5	92.0	120.5	140.0	160.0	201.5	237.5	288.0	373.5	470.0	566.0	657.0	833.5	1099.5	1395.0	1825.0	2429.5	3147.5	4037.5	5104.5	6392.5	8058.0	9909.5	11877.0	13998.0	16140.0	18540.0	20840.5	23230.0	25554.0	27691.5	29491.0	31105.0	33325.0	34960.0	36879.5	38881.5	41268.0	43803.0	44654.0	44503.0	43666.0	41977.5	40185.5	38763.5	37240.0	35506.0	33706.5	32062.5	30509.0	28769.0	26859.5	25525.5	24220.5	23368.5	23020.5	22696.5	22271.0	21151.0	20512.5	20157.0	19587.5	19132.5	18401.5	17615.0	16519.0	15165.0	13887.0	12484.0	10891.5	9285.0	7831.5	6385.5	5027.5	3769.5	2826.5	2085.0	1364.5	865.5	528.0	332.0	237.0	178.0	131.5	98.0	78.5	69.0	57.0	43.5	38.0	31.5	28.0	26.5	19.5	17.5	21.0
fastQC | 106	34.0	33.0	43.5	57.5	61.5	69.0	81.5	101.5	139.5	169.5	184.0	214.5	266.5	337.5	423.5	508.0	648.5	857.5	1064.5	1345.0	1783.0	2377.0	3118.0	4057.0	5042.0	6242.0	7733.0	9321.0	11117.5	13004.5	15036.0	17258.0	19395.0	20928.5	22685.5	24224.0	25053.0	26383.0	27734.5	29134.0	30661.0	31703.0	33317.0	34267.0	34417.5	33903.0	32251.5	30423.5	28655.5	27450.5	26179.0	24613.0	23128.0	21991.5	20796.5	19586.0	18799.5	18169.5	17692.0	17514.5	17391.5	17402.5	17444.5	17395.0	17390.5	17731.0	18206.0	18750.5	19157.0	19222.5	19147.5	18691.5	17990.5	16875.5	15326.0	13782.5	11999.5	9843.0	7853.5	6042.5	4362.5	3049.0	1975.0	1221.0	749.5	436.5	279.0	204.0	152.5	108.0	88.5	71.5	54.0	36.0	24.5	21.0	20.0	18.5	16.0	15.5	16.0
